Category,Test,Region,Result,Resource,More Info
CloudTrail,CloudTrail Bucket Delete Policy,us-east-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,us-east-2,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,us-west-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,us-west-2,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,ca-central-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,eu-central-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,eu-west-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,eu-west-2,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,eu-west-3,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,eu-north-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,ap-northeast-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,ap-northeast-2,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,ap-southeast-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,ap-southeast-2,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,ap-south-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,sa-east-1,PASS,,No S3 buckets to check
CloudTrail,CloudTrail Bucket Delete Policy,ap-east-1,PASS,,Region is not enabled
CloudTrail,CloudTrail Bucket Delete Policy,me-south-1,PASS,,Region is not enabled
CloudTrail,CloudTrail Enabled,us-east-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,us-east-2,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,us-west-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,us-west-2,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,ca-central-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,eu-central-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,eu-west-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,eu-west-2,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,eu-west-3,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,eu-north-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,ap-northeast-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,ap-northeast-2,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,ap-southeast-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,ap-southeast-2,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,ap-south-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,sa-east-1,FAIL,,CloudTrail is not enabled
CloudTrail,CloudTrail Enabled,ap-east-1,PASS,,Region is not enabled
CloudTrail,CloudTrail Enabled,me-south-1,PASS,,Region is not enabled
CloudTrail,CloudTrail Enabled,global,FAIL,,CloudTrail is not configured to monitor global services
EC2,Elastic IP Limit,us-east-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,us-east-2,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,us-west-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,us-west-2,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,ca-central-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,eu-central-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,eu-west-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,eu-west-2,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,eu-west-3,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,eu-north-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,ap-northeast-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,ap-northeast-2,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,ap-southeast-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,ap-southeast-2,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,ap-south-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,sa-east-1,PASS,,No Elastic IPs found
EC2,Elastic IP Limit,ap-east-1,PASS,,Region is not enabled
EC2,Elastic IP Limit,me-south-1,PASS,,Region is not enabled
EC2,VPC Elastic IP Limit,us-east-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,us-east-2,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,us-west-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,us-west-2,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,ca-central-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,eu-central-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,eu-west-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,eu-west-2,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,eu-west-3,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,eu-north-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,ap-northeast-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,ap-northeast-2,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,ap-southeast-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,ap-southeast-2,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,ap-south-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,sa-east-1,PASS,,No VPC Elastic IPs found
EC2,VPC Elastic IP Limit,ap-east-1,PASS,,Region is not enabled
EC2,VPC Elastic IP Limit,me-south-1,PASS,,Region is not enabled
EC2,Instance Limit,us-east-1,PASS,,No instances found
EC2,Instance Limit,us-east-2,PASS,,No instances found
EC2,Instance Limit,us-west-1,PASS,,No instances found
EC2,Instance Limit,us-west-2,PASS,,No instances found
EC2,Instance Limit,ca-central-1,PASS,,No instances found
EC2,Instance Limit,eu-central-1,PASS,,No instances found
EC2,Instance Limit,eu-west-1,PASS,,No instances found
EC2,Instance Limit,eu-west-2,PASS,,No instances found
EC2,Instance Limit,eu-west-3,PASS,,No instances found
EC2,Instance Limit,eu-north-1,PASS,,No instances found
EC2,Instance Limit,ap-northeast-1,PASS,,No instances found
EC2,Instance Limit,ap-northeast-2,PASS,,No instances found
EC2,Instance Limit,ap-southeast-1,PASS,,No instances found
EC2,Instance Limit,ap-southeast-2,PASS,,No instances found
EC2,Instance Limit,ap-south-1,PASS,,No instances found
EC2,Instance Limit,sa-east-1,PASS,,No instances found
EC2,Instance Limit,ap-east-1,PASS,,Region is not enabled
EC2,Instance Limit,me-south-1,PASS,,Region is not enabled
EC2,Excessive Security Groups,us-east-1,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,us-east-2,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,us-west-1,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,us-west-2,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,ca-central-1,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,eu-central-1,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,eu-west-1,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,eu-west-2,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,eu-west-3,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,eu-north-1,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,ap-northeast-1,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,ap-northeast-2,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,ap-southeast-1,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,ap-southeast-2,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,ap-south-1,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,sa-east-1,PASS,,Acceptable number of security groups: 1 groups present
EC2,Excessive Security Groups,ap-east-1,PASS,,Region is not enabled
EC2,Excessive Security Groups,me-south-1,PASS,,Region is not enabled
EC2,Open FTP,us-east-1,PASS,,No public open ports found
EC2,Open FTP,us-east-2,PASS,,No public open ports found
EC2,Open FTP,us-west-1,PASS,,No public open ports found
EC2,Open FTP,us-west-2,PASS,,No public open ports found
EC2,Open FTP,ca-central-1,PASS,,No public open ports found
EC2,Open FTP,eu-central-1,PASS,,No public open ports found
EC2,Open FTP,eu-west-1,PASS,,No public open ports found
EC2,Open FTP,eu-west-2,PASS,,No public open ports found
EC2,Open FTP,eu-west-3,PASS,,No public open ports found
EC2,Open FTP,eu-north-1,PASS,,No public open ports found
EC2,Open FTP,ap-northeast-1,PASS,,No public open ports found
EC2,Open FTP,ap-northeast-2,PASS,,No public open ports found
EC2,Open FTP,ap-southeast-1,PASS,,No public open ports found
EC2,Open FTP,ap-southeast-2,PASS,,No public open ports found
EC2,Open FTP,ap-south-1,PASS,,No public open ports found
EC2,Open FTP,sa-east-1,PASS,,No public open ports found
EC2,Open FTP,ap-east-1,PASS,,Region is not enabled
EC2,Open FTP,me-south-1,PASS,,Region is not enabled
EC2,Open SSH,us-east-1,PASS,,No public open ports found
EC2,Open SSH,us-east-2,PASS,,No public open ports found
EC2,Open SSH,us-west-1,PASS,,No public open ports found
EC2,Open SSH,us-west-2,PASS,,No public open ports found
EC2,Open SSH,ca-central-1,PASS,,No public open ports found
EC2,Open SSH,eu-central-1,PASS,,No public open ports found
EC2,Open SSH,eu-west-1,PASS,,No public open ports found
EC2,Open SSH,eu-west-2,PASS,,No public open ports found
EC2,Open SSH,eu-west-3,PASS,,No public open ports found
EC2,Open SSH,eu-north-1,PASS,,No public open ports found
EC2,Open SSH,ap-northeast-1,PASS,,No public open ports found
EC2,Open SSH,ap-northeast-2,PASS,,No public open ports found
EC2,Open SSH,ap-southeast-1,PASS,,No public open ports found
EC2,Open SSH,ap-southeast-2,PASS,,No public open ports found
EC2,Open SSH,ap-south-1,PASS,,No public open ports found
EC2,Open SSH,sa-east-1,PASS,,No public open ports found
EC2,Open SSH,ap-east-1,PASS,,Region is not enabled
EC2,Open SSH,me-south-1,PASS,,Region is not enabled
EC2,Open Telnet,us-east-1,PASS,,No public open ports found
EC2,Open Telnet,us-east-2,PASS,,No public open ports found
EC2,Open Telnet,us-west-1,PASS,,No public open ports found
EC2,Open Telnet,us-west-2,PASS,,No public open ports found
EC2,Open Telnet,ca-central-1,PASS,,No public open ports found
EC2,Open Telnet,eu-central-1,PASS,,No public open ports found
EC2,Open Telnet,eu-west-1,PASS,,No public open ports found
EC2,Open Telnet,eu-west-2,PASS,,No public open ports found
EC2,Open Telnet,eu-west-3,PASS,,No public open ports found
EC2,Open Telnet,eu-north-1,PASS,,No public open ports found
EC2,Open Telnet,ap-northeast-1,PASS,,No public open ports found
EC2,Open Telnet,ap-northeast-2,PASS,,No public open ports found
EC2,Open Telnet,ap-southeast-1,PASS,,No public open ports found
EC2,Open Telnet,ap-southeast-2,PASS,,No public open ports found
EC2,Open Telnet,ap-south-1,PASS,,No public open ports found
EC2,Open Telnet,sa-east-1,PASS,,No public open ports found
